SKU,name,description,current_price,current_stock
SKU-PRD-0001,Silla Gamer Modelo 1,Silla ergonómica ajustable con soporte lumbar - Lote 1,4017.11,38
SKU-PRD-0002,Teclado Modelo 2,Teclado multimedia con iluminación LED - Lote 2,733.97,160
SKU-PRD-0003,Smartphone Modelo 3,Teléfono inteligente con cámara dual y gran batería - Lote 3,7418.08,84
SKU-PRD-0004,Monitor Modelo 4,Pantalla LED Full HD con puertos HDMI - Lote 4,3779.2,91
SKU-PRD-0005,Tablet Modelo 5,Dispositivo táctil multimedia para estudio y trabajo - Lote 5,7196.44,17
SKU-PRD-0006,Smartphone Modelo 6,Teléfono inteligente con cámara dual y gran batería - Lote 6,11356.13,64
SKU-PRD-0007,Silla Gamer Modelo 7,Silla ergonómica ajustable con soporte lumbar - Lote 7,4307.64,200
SKU-PRD-0008,Cable HDMI Modelo 8,Cable de alta definición mallado 4K - Lote 8,101.3,93
SKU-PRD-0009,Silla Gamer Modelo 9,Silla ergonómica ajustable con soporte lumbar - Lote 9,4981.87,83
SKU-PRD-0010,Teclado Modelo 10,Teclado multimedia con iluminación LED - Lote 10,661.59,193
SKU-PRD-0011,Mouse Modelo 11,Mouse óptico ergonómico con conexión USB - Lote 11,330.33,140
SKU-PRD-0012,Teclado Modelo 12,Teclado multimedia con iluminación LED - Lote 12,961.5,129
SKU-PRD-0013,Silla Gamer Modelo 13,Silla ergonómica ajustable con soporte lumbar - Lote 13,5959.01,153
SKU-PRD-0014,Smartphone Modelo 14,Teléfono inteligente con cámara dual y gran batería - Lote 14,10935.38,81
SKU-PRD-0015,Smartwatch Modelo 15,Reloj inteligente deportivo con monitor de salud - Lote 15,2438.39,94
SKU-PRD-0016,Mouse Modelo 16,Mouse óptico ergonómico con conexión USB - Lote 16,591.48,23
SKU-PRD-0017,Regulador Modelo 17,Protector de voltaje multicontacto para oficina - Lote 17,699.77,161
SKU-PRD-0018,Smartwatch Modelo 18,Reloj inteligente deportivo con monitor de salud - Lote 18,1056.78,180
SKU-PRD-0019,Disco Duro Modelo 19,Unidad de almacenamiento externo de alta velocidad - Lote 19,2497.78,133
SKU-PRD-0020,Tablet Modelo 20,Dispositivo táctil multimedia para estudio y trabajo - Lote 20,2256.04,69
SKU-PRD-0021,Teclado Modelo 21,Teclado multimedia con iluminación LED - Lote 21,1067.63,173
SKU-PRD-0022,Mouse Modelo 22,Mouse óptico ergonómico con conexión USB - Lote 22,184.9,148
SKU-PRD-0023,Smartwatch Modelo 23,Reloj inteligente deportivo con monitor de salud - Lote 23,724.9,57
SKU-PRD-0024,Laptop Modelo 24,Ordenador portátil con procesador de alta velocidad y SSD - Lote 24,10002.92,32
SKU-PRD-0025,Mouse Modelo 25,Mouse óptico ergonómico con conexión USB - Lote 25,258.4,163
SKU-PRD-0026,Regulador Modelo 26,Protector de voltaje multicontacto para oficina - Lote 26,590.33,83
SKU-PRD-0027,Smartphone Modelo 27,Teléfono inteligente con cámara dual y gran batería - Lote 27,4054.16,76
SKU-PRD-0028,Laptop Modelo 28,Ordenador portátil con procesador de alta velocidad y SSD - Lote 28,9796.17,150
SKU-PRD-0029,Bocina Bluetooth Modelo 29,Bocina inalámbrica portátil resistente al agua - Lote 29,405.29,45
SKU-PRD-0030,Memoria USB Modelo 30,Unidad flash portátil de transferencia rápida - Lote 30,231.25,194
SKU-PRD-0031,Disco Duro Modelo 31,Unidad de almacenamiento externo de alta velocidad - Lote 31,1473.48,39
SKU-PRD-0032,Memoria USB Modelo 32,Unidad flash portátil de transferencia rápida - Lote 32,373.59,176
SKU-PRD-0033,Mouse Modelo 33,Mouse óptico ergonómico con conexión USB - Lote 33,307.41,195
SKU-PRD-0034,Monitor Modelo 34,Pantalla LED Full HD con puertos HDMI - Lote 34,5135.18,9
SKU-PRD-0035,Impresora Modelo 35,Impresora multifuncional a color con Wi-Fi - Lote 35,3297.04,8
SKU-PRD-0036,Monitor Modelo 36,Pantalla LED Full HD con puertos HDMI - Lote 36,2918.62,15
SKU-PRD-0037,Mouse Modelo 37,Mouse óptico ergonómico con conexión USB - Lote 37,365.06,157
SKU-PRD-0038,Memoria USB Modelo 38,Unidad flash portátil de transferencia rápida - Lote 38,140.15,61
